city,year,month,date,price
杭州,2020,10,2020-10,23396
杭州,2020,11,2020-11,23054
杭州,2020,12,2020-12,22760
杭州,2021,1,2021-01,22790
杭州,2021,2,2021-02,22410
杭州,2021,3,2021-03,22435
杭州,2021,4,2021-04,22123
杭州,2021,5,2021-05,21127
杭州,2021,6,2021-06,20601
杭州,2021,7,2021-07,20466
杭州,2021,8,2021-08,20432
杭州,2021,9,2021-09,20854
杭州,2021,10,2021-10,21224
杭州,2021,11,2021-11,21154
杭州,2021,12,2021-12,21100
杭州,2022,1,2022-01,20817
杭州,2022,2,2022-02,20923
杭州,2022,3,2022-03,21222
杭州,2022,4,2022-04,21235
杭州,2022,5,2022-05,21938
杭州,2022,6,2022-06,22487
杭州,2022,7,2022-07,22399
杭州,2022,8,2022-08,21992
杭州,2022,9,2022-09,22933
杭州,2022,10,2022-10,23693
杭州,2022,11,2022-11,23754
杭州,2022,12,2022-12,24267
杭州,2023,1,2023-01,24322
杭州,2023,2,2023-02,24196
杭州,2023,3,2023-03,23440
杭州,2023,4,2023-04,23233
杭州,2023,5,2023-05,22602
杭州,2023,6,2023-06,22893
杭州,2023,7,2023-07,22798
杭州,2023,8,2023-08,23157
杭州,2023,9,2023-09,23128
杭州,2023,10,2023-10,23349
杭州,2023,11,2023-11,22545
杭州,2023,12,2023-12,22561
杭州,2024,1,2024-01,22906
杭州,2024,2,2024-02,22515
杭州,2024,3,2024-03,22825
杭州,2024,4,2024-04,22549
杭州,2024,5,2024-05,22393
杭州,2024,6,2024-06,22916
杭州,2024,7,2024-07,22836
杭州,2024,8,2024-08,22817
杭州,2024,9,2024-09,22494
杭州,2024,10,2024-10,22383
杭州,2024,11,2024-11,22104
杭州,2024,12,2024-12,21562
杭州,2025,1,2025-01,21466
杭州,2025,2,2025-02,21258
杭州,2025,3,2025-03,20961
杭州,2025,4,2025-04,20847
杭州,2025,5,2025-05,21222
杭州,2025,6,2025-06,21416
杭州,2025,7,2025-07,21416
杭州,2025,8,2025-08,21416
杭州,2025,9,2025-09,21580
杭州,2025,10,2025-10,21580
杭州,2025,11,2025-11,21708
杭州,2025,12,2025-12,21427
合肥,2017,1,2017-01,12436
合肥,2017,2,2017-02,12652
合肥,2017,3,2017-03,12679
合肥,2017,4,2017-04,12712
合肥,2017,5,2017-05,12656
合肥,2017,6,2017-06,13584
合肥,2017,7,2017-07,13556
合肥,2017,8,2017-08,13645
合肥,2017,9,2017-09,13644
合肥,2017,10,2017-10,14087
合肥,2017,11,2017-11,14008
合肥,2017,12,2017-12,14276
合肥,2018,1,2018-01,13586
合肥,2018,2,2018-02,13848
合肥,2018,3,2018-03,14000
合肥,2018,4,2018-04,14240
合肥,2018,5,2018-05,14456
合肥,2018,6,2018-06,14078
合肥,2018,7,2018-07,14284
合肥,2018,8,2018-08,14269
